step,virtual_cumulative_ns,real_cumulative_ns,virtual_delta_ns,real_delta_ns,driver_wall_delta_s
122,12200000000,12200044800,100000000,100093500,0.133934500
123,12300000000,12300104100,100000000,100059300,0.132495625
124,12400000000,12399972100,100000000,99868000,0.132928792
125,12500000000,12499956400,100000000,99984300,0.133048917
126,12600000000,12599961900,100000000,100005500,0.133979250
127,12700000000,12699954600,100000000,99992700,0.133931458
128,12800000000,12799939000,100000000,99984400,0.133791125
129,12900000000,12900025200,100000000,100086200,0.132126375
130,13000000000,13000073500,100000000,100048300,0.133515042
131,13100000000,13100019700,100000000,99946200,0.133913417
132,13200000000,13200025800,100000000,100006100,0.133634125
133,13300000000,13300030900,100000000,100005100,0.133926833
134,13400000000,13400004200,100000000,99973300,0.133694042
135,13500000000,13499969000,100000000,99964800,0.133617000
136,13600000000,13599973800,100000000,100004800,0.134087458
137,13700000000,13699957300,100000000,99983500,0.133378708
138,13800000000,13800036900,100000000,100079600,0.133676375
139,13900000000,13899965400,100000000,99928500,0.133593416
140,14000000000,14000341200,100000000,100375800,0.134411917
141,14100000000,14100029900,100000000,99688700,0.133133416
142,14200000000,14199981700,100000000,99951800,0.133573250
143,14300000000,14300023000,100000000,100041300,0.132376000
144,14400000000,14400047300,100000000,100024300,0.133517166
145,14500000000,14500036900,100000000,99989600,0.133964583
146,14600000000,14600051100,100000000,100014200,0.133795125
147,14700000000,14699986900,100000000,99935800,0.133381500
148,14800000000,14799955400,100000000,99968500,0.133745083
149,14900000000,14899985900,100000000,100030500,0.133749666
150,15000000000,14999945700,100000000,99959800,0.133418125
151,15100000000,15099959700,100000000,100014000,0.133783291
152,15200000000,15199953000,100000000,99993300,0.133687958
153,15300000000,15300031700,100000000,100078700,0.134105958
154,15400000000,15399949100,100000000,99917400,0.131814500
155,15500000000,15500038400,100000000,100089300,0.133757416
156,15600000000,15599952400,100000000,99914000,0.133599125
157,15700000000,15699956200,100000000,100003800,0.133202000
158,15800000000,15800025800,100000000,100069600,0.133265750
159,15900000000,15900033400,100000000,100007600,0.133788541
160,16000000000,16000035200,100000000,100001800,0.133640459
161,16100000000,16100024200,100000000,99989000,0.133614750
162,16200000000,16199967600,100000000,99943400,0.133395958
163,16300000000,16300065400,100000000,100097800,0.133751917
164,16400000000,16400038500,100000000,99973100,0.133485875
165,16500000000,16499957900,100000000,99919400,0.133759083
166,16600000000,16600032800,100000000,100074900,0.134085458
167,16700000000,16699975800,100000000,99943000,0.133885042
168,16800000000,16799950100,100000000,99974300,0.133824042
169,16900000000,16899972100,100000000,100022000,0.133451375
170,17000000000,17000026600,100000000,100054500,0.134065083
171,17100000000,17099995600,100000000,99969000,0.133941458
172,17200000000,17199998400,100000000,100002800,0.133780583
173,17300000000,17300033800,100000000,100035400,0.133546417
174,17400000000,17400025200,100000000,99991400,0.133749042
175,17500000000,17500028500,100000000,100003300,0.132295000
176,17600000000,17599956800,100000000,99928300,0.133215458
177,17700000000,17700042600,100000000,100085800,0.133915625
178,17800000000,17800032200,100000000,99989600,0.133490125
179,17900000000,17899953500,100000000,99921300,0.134177209
180,18000000000,17999996200,100000000,100042700,0.133430291
181,18100000000,18100050400,100000000,100054200,0.134081250
182,18200000000,18199980900,100000000,99930500,0.133487916
183,18300000000,18299961300,100000000,99980400,0.133798542
184,18400000000,18399960800,100000000,99999500,0.133898250
185,18500000000,18499957300,100000000,99996500,0.131542458
186,18600000000,18600042400,100000000,100085100,0.134131667
187,18700000000,18700023300,100000000,99980900,0.134736792
188,18800000000,18799974800,100000000,99951500,0.131988000
189,18900000000,18899991900,100000000,100017100,0.134321083
190,19000000000,19000120900,100000000,100129000,0.132374750
191,19100000000,19100051700,100000000,99930800,0.132585666
192,19200000000,19199983700,100000000,99932000,0.133965625
193,19300000000,19300053500,100000000,100069800,0.132465250
194,19400000000,19400021900,100000000,99968400,0.134430542
195,19500000000,19499964000,100000000,99942100,0.134071334
196,19600000000,19599955900,100000000,99991900,0.133783416
197,19700000000,19699952300,100000000,99996400,0.133879625
198,19800000000,19800001200,100000000,100048900,0.133877958
199,19900000000,19899949000,100000000,99947800,0.133477375
200,20000000000,20000030900,100000000,100081900,0.134084000
201,20100000000,20099980600,100000000,99949700,0.133325375
202,20200000000,20200256600,100000000,100276000,0.132378500
203,20300000000,20300031200,100000000,99774600,0.131597458
204,20400000000,20400696000,100000000,100664800,0.134266334
205,20500000000,20500030100,100000000,99334100,0.132683417
206,20600000000,20600072000,100000000,100041900,0.133328708
207,20700000000,20699997700,100000000,99925700,0.133401583
208,20800000000,20799958900,100000000,99961200,0.133424709
209,20900000000,20899958700,100000000,99999800,0.133227458
210,21000000000,21000006700,100000000,100048000,0.133573000
211,21100000000,21099958600,100000000,99951900,0.132112958
212,21200000000,21199960600,100000000,100002000,0.133846959
213,21300000000,21300026900,100000000,100066300,0.133933875
214,21400000000,21399968100,100000000,99941200,0.133802667
215,21500000000,21500036400,100000000,100068300,0.133597875
216,21600000000,21599966000,100000000,99929600,0.133267000
